"9911る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 99/11/01,"12,732,548","723,720,336",56.20,57.05,56.20,56.80,+0.80,"1,811"
 99/11/02,"5,732,868","325,612,133",56.80,56.90,56.65,56.80,0.00,789
 99/11/03,"13,242,296","751,987,634",56.95,57.10,56.50,56.70,-0.10,"1,165"
 99/11/04,"8,072,802","460,577,836",56.80,57.20,56.80,57.05,+0.35,"1,036"
 99/11/05,"18,917,069","1,089,796,929",57.55,57.75,57.50,57.65,+0.60,"1,633"
 99/11/08,"9,801,832","564,458,172",57.80,57.85,57.45,57.55,-0.10,"1,002"
 99/11/09,"3,995,547","230,210,197",57.55,57.70,57.45,57.70,+0.15,653
 99/11/10,"18,164,969","1,049,072,051",57.80,57.85,57.60,57.65,-0.05,903
 99/11/11,"8,634,408","497,131,742",57.80,57.80,57.45,57.50,-0.15,662
 99/11/12,"12,201,162","691,923,634",57.25,57.25,56.35,56.35,-1.15,"2,026"
 99/11/15,"7,380,484","414,589,397",56.30,56.30,56.05,56.15,-0.20,"1,164"
 99/11/16,"7,063,846","398,490,586",56.10,56.85,56.10,56.75,+0.60,933
 99/11/17,"6,157,279","347,068,621",56.35,56.65,56.15,56.50,-0.25,971
 99/11/18,"2,169,592","122,484,707",56.40,56.60,56.30,56.60,+0.10,570
 99/11/19,"3,171,480","179,964,828",56.90,57.15,56.30,56.65,+0.05,865
 99/11/22,"5,493,100","314,290,819",56.80,57.50,56.80,57.35,+0.70,"1,005"
 99/11/23,"3,197,414","182,492,494",57.35,57.35,56.80,56.90,-0.45,617
 99/11/24,"4,847,876","275,688,934",56.70,57.05,56.65,56.85,-0.05,714
 99/11/25,"3,601,735","205,409,515",56.85,57.15,56.85,57.10,+0.25,688
 99/11/26,"4,644,074","264,375,812",57.15,57.15,56.80,56.80,-0.30,809
 99/11/29,"8,866,180","506,250,160",57.10,57.35,56.85,56.90,+0.10,"1,086"
 99/11/30,"8,006,464","458,479,034",57.05,57.50,56.95,57.10,+0.20,993
