"10211る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 102/11/01,"6,293,364","362,802,228",58.00,58.10,57.45,57.60,-0.30,"1,612"
 102/11/04,"6,647,499","380,466,626",57.40,57.40,57.10,57.35,-0.25,"2,102"
 102/11/05,"7,879,372","448,706,061",57.25,57.35,56.75,56.80,-0.55,"2,598"
 102/11/06,"4,717,161","267,847,827",56.80,56.90,56.60,56.80,0.00,"1,698"
 102/11/07,"4,901,449","277,659,985",56.85,56.85,56.50,56.65,-0.15,"1,630"
 102/11/08,"6,209,803","350,923,675",56.60,56.65,56.35,56.45,-0.20,"1,939"
 102/11/11,"8,237,847","463,973,321",56.45,56.50,56.20,56.30,-0.15,"2,594"
 102/11/12,"6,243,339","352,233,375",56.60,56.60,56.20,56.50,+0.20,"1,737"
 102/11/13,"17,168,796","960,655,076",56.25,56.30,55.70,55.75,-0.75,"4,884"
 102/11/14,"15,583,085","870,463,710",56.00,56.10,55.65,55.90,+0.15,"3,495"
 102/11/15,"12,722,507","714,440,665",56.10,56.35,55.90,56.15,+0.25,"3,079"
 102/11/18,"5,565,731","313,864,114",56.35,56.50,56.20,56.45,+0.30,"1,834"
 102/11/19,"8,478,759","480,733,824",56.55,56.85,56.55,56.80,+0.35,"2,094"
 102/11/20,"9,701,799","548,101,949",56.65,56.70,56.35,56.45,-0.35,"2,514"
 102/11/21,"35,062,264","1,947,623,471",56.10,56.10,55.40,55.45,-1.00,"9,065"
 102/11/22,"10,937,407","607,995,596",55.50,55.70,55.50,55.50,+0.05,"3,314"
 102/11/25,"10,345,365","582,454,673",56.15,56.50,56.15,56.25,+0.75,"2,827"
 102/11/26,"9,878,559","558,861,474",56.00,56.90,56.00,56.70,+0.45,"2,404"
 102/11/27,"8,118,057","462,140,733",56.70,57.05,56.65,57.00,+0.30,"2,274"
 102/11/28,"11,237,010","644,295,393",57.35,57.45,57.20,57.35,+0.35,"2,803"
 102/11/29,"14,720,545","846,658,034",57.35,57.70,57.25,57.55,+0.20,"2,727"
