"10001る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 100/01/03,"12,033,427","740,821,161",61.60,61.65,61.45,61.45,+0.05,"1,058"
 100/01/04,"11,093,455","681,759,026",61.55,61.60,61.30,61.30,-0.15,996
 100/01/05,"20,764,188","1,255,031,256",61.10,61.35,59.90,60.30,-1.00,"2,368"
 100/01/06,"6,883,599","413,506,773",60.25,60.30,59.95,60.20,-0.10,896
 100/01/07,"12,300,875","735,133,600",60.25,60.35,59.40,59.65,-0.55,"1,702"
 100/01/10,"4,241,806","253,246,092",59.75,59.90,59.55,59.85,+0.20,711
 100/01/11,"12,746,305","771,066,255",59.70,61.00,59.70,60.85,+1.00,"1,484"
 100/01/12,"5,713,284","348,896,066",61.00,61.25,60.90,61.10,+0.25,995
 100/01/13,"10,156,962","621,141,415",61.25,61.40,60.80,61.05,-0.05,"1,350"
 100/01/14,"7,317,612","446,642,337",60.95,61.10,60.80,61.00,-0.05,477
 100/01/17,"5,093,719","310,233,887",61.15,61.25,60.70,60.85,-0.15,"1,033"
 100/01/18,"9,691,188","592,468,290",60.55,61.55,60.50,61.35,+0.50,"1,145"
 100/01/19,"15,346,271","948,521,929",61.35,62.15,61.35,62.05,+0.70,"1,788"
 100/01/20,"5,216,814","321,861,850",62.00,62.00,61.60,61.65,-0.40,923
 100/01/21,"11,627,990","708,961,583",61.10,61.45,60.55,61.00,-0.65,"1,403"
 100/01/24,"17,731,733","1,081,663,961",61.00,61.20,60.90,60.95,-0.05,789
 100/01/25,"18,634,469","1,147,594,608",61.45,61.70,61.40,61.45,+0.50,"1,437"
 100/01/26,"20,930,819","1,294,264,613",61.45,62.10,61.45,62.00,+0.55,"1,253"
 100/01/27,"17,156,782","1,071,020,014",62.05,62.70,62.05,62.45,+0.45,"2,070"
 100/01/28,"11,849,231","743,247,153",62.50,63.00,62.45,63.00,+0.55,"1,615"
