"9903る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 99/03/01,"13,647,130","715,419,506",51.50,52.95,51.50,52.80,+1.25,"2,066"
 99/03/02,"9,997,438","528,112,268",52.75,53.10,52.55,52.65,-0.15,"1,225"
 99/03/03,"8,764,746","462,426,932",52.70,53.10,52.50,52.65,0.00,"1,041"
 99/03/04,"8,149,453","426,373,974",52.75,52.90,51.80,52.20,-0.45,"1,295"
 99/03/05,"13,619,167","720,117,212",52.85,53.20,52.50,52.95,+0.75,"1,541"
 99/03/08,"16,985,546","907,762,324",53.30,53.65,53.25,53.65,+0.70,"2,472"
 99/03/09,"7,770,200","417,203,238",53.70,53.80,53.55,53.80,+0.15,"1,070"
 99/03/10,"6,842,414","367,950,915",53.85,53.95,53.45,53.80,0.00,"1,009"
 99/03/11,"6,657,965","358,344,611",54.00,54.00,53.50,53.65,-0.15,"1,013"
 99/03/12,"12,617,367","675,578,756",53.70,53.70,53.40,53.60,-0.05,753
 99/03/15,"10,347,597","548,486,587",53.50,53.55,52.70,52.85,-0.75,"1,374"
 99/03/16,"13,206,323","698,390,628",52.80,53.10,52.75,53.10,+0.25,869
 99/03/17,"14,910,569","802,914,397",53.45,54.15,53.40,54.15,+1.05,"2,346"
 99/03/18,"8,609,032","467,282,129",54.25,54.55,54.05,54.40,+0.25,"1,693"
 99/03/19,"5,394,422","292,259,307",54.45,54.45,54.00,54.25,-0.15,926
 99/03/22,"7,376,253","395,093,362",54.00,54.00,53.25,53.70,-0.55,"1,331"
 99/03/23,"8,078,483","432,328,487",53.70,53.80,53.25,53.35,-0.35,"1,116"
 99/03/24,"19,134,856","1,025,228,740",53.50,53.75,53.45,53.50,+0.15,"1,050"
 99/03/25,"14,547,242","774,041,367",53.35,53.70,52.90,53.50,0.00,"1,523"
 99/03/26,"11,520,708","617,381,687",53.25,54.15,52.90,54.00,+0.50,"1,722"
 99/03/29,"16,278,063","885,608,225",54.15,54.55,54.15,54.50,+0.50,"1,980"
 99/03/30,"7,592,145","413,272,436",54.50,54.55,54.35,54.45,-0.05,782
 99/03/31,"10,909,581","592,799,089",54.35,54.45,54.20,54.25,-0.20,"1,245"
