"9908る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 99/08/02,"12,724,082","697,944,083",54.35,55.20,54.35,54.95,+1.05,"2,608"
 99/08/03,"8,049,682","443,670,275",55.05,55.30,54.95,55.20,+0.25,"1,457"
 99/08/04,"7,131,519","393,332,395",55.00,55.30,54.95,55.10,-0.10,"1,079"
 99/08/05,"9,995,481","551,369,712",55.25,55.45,54.85,55.05,-0.05,"1,132"
 99/08/06,"11,550,901","636,191,933",54.90,55.25,54.90,55.20,+0.15,"1,030"
 99/08/09,"10,803,836","599,683,827",55.10,55.65,55.10,55.50,+0.30,"1,521"
 99/08/10,"7,592,888","421,039,630",55.50,55.70,55.20,55.40,-0.10,904
 99/08/11,"5,770,212","316,690,984",55.00,55.20,54.55,54.70,-0.70,"1,058"
 99/08/12,"7,186,464","389,834,957",54.10,54.45,54.00,54.25,-0.45,"1,297"
 99/08/13,"6,844,263","373,178,144",54.30,55.00,54.30,54.85,+0.60,863
 99/08/16,"4,168,210","227,991,817",54.45,55.05,54.30,55.00,+0.15,676
 99/08/17,"3,215,750","176,637,550",54.85,55.00,54.75,54.95,-0.05,481
 99/08/18,"5,574,191","305,424,970",55.00,55.05,54.40,54.65,-0.30,639
 99/08/19,"3,761,705","205,909,807",54.65,55.00,54.50,54.95,+0.30,490
 99/08/20,"5,175,489","283,646,913",54.85,54.95,54.65,54.95,0.00,444
 99/08/23,"7,551,173","417,513,148",54.85,55.60,54.70,55.30,+0.35,"1,030"
 99/08/24,"6,661,090","366,609,963",55.00,55.25,54.90,54.95,-0.35,899
 99/08/25,"13,856,747","749,592,832",54.30,54.50,53.85,53.95,-1.00,"2,076"
 99/08/26,"9,343,642","502,592,295",53.90,53.95,53.60,53.60,-0.35,"1,245"
 99/08/27,"8,466,348","454,575,678",53.60,53.90,53.45,53.85,+0.25,"1,000"
 99/08/30,"8,229,849","446,720,885",54.30,54.60,53.95,54.10,+0.25,"1,382"
 99/08/31,"8,911,993","475,561,064",53.70,53.70,53.15,53.30,-0.80,"1,801"
