"10102る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 101/02/01,"24,094,799","1,259,526,696",52.20,52.50,52.00,52.30,+0.35,"3,708"
 101/02/02,"20,429,817","1,078,026,422",52.70,52.95,52.50,52.90,+0.60,"4,181"
 101/02/03,"35,674,566","1,889,356,034",52.95,53.05,52.75,53.05,+0.15,"3,992"
 101/02/04,"35,192,801","1,885,936,513",53.35,53.80,53.35,53.65,+0.60,"6,489"
 101/02/06,"18,164,280","968,437,031",53.50,53.50,53.15,53.20,-0.45,"3,632"
 101/02/07,"19,816,410","1,056,101,732",53.30,53.60,53.05,53.30,+0.10,"2,525"
 101/02/08,"39,001,109","2,103,272,489",53.50,54.45,53.50,54.45,+1.15,"5,878"
 101/02/09,"36,139,797","1,956,532,601",54.05,54.40,53.90,54.40,-0.05,"3,922"
 101/02/10,"28,591,539","1,549,003,046",54.25,54.55,53.95,53.95,-0.45,"2,740"
 101/02/13,"26,861,060","1,452,199,378",54.00,54.35,53.75,54.20,+0.25,"3,974"
 101/02/14,"23,406,458","1,264,230,154",54.05,54.25,53.60,54.00,-0.20,"2,127"
 101/02/15,"41,671,754","2,276,165,522",54.30,55.00,54.20,54.90,+0.90,"5,673"
 101/02/16,"22,868,244","1,247,877,661",54.65,54.85,54.20,54.25,-0.65,"2,852"
 101/02/17,"35,448,758","1,943,346,075",54.80,55.20,54.35,54.75,+0.50,"3,613"
 101/02/20,"31,809,117","1,739,727,485",54.80,55.05,54.50,54.70,-0.05,"2,425"
 101/02/21,"15,255,755","828,325,256",54.50,54.75,54.00,54.50,-0.20,"2,499"
 101/02/22,"17,125,114","937,733,078",54.30,55.10,54.20,54.85,+0.35,"3,124"
 101/02/23,"9,186,327","501,209,772",54.55,54.75,54.40,54.60,-0.25,"1,027"
 101/02/24,"9,154,405","499,477,298",54.60,54.85,54.25,54.75,+0.15,"1,304"
 101/02/29,"28,925,369","1,612,404,203",55.25,56.00,55.25,56.00,+1.25,"4,957"
