"10011る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 100/11/01,"10,920,775","572,049,196",52.20,52.85,51.85,52.55,+0.35,"2,708"
 100/11/02,"23,425,870","1,214,957,891",51.60,52.50,51.45,52.40,-0.15,"4,930"
 100/11/03,"29,386,123","1,517,921,547",52.00,52.00,51.45,51.45,-0.95,"7,694"
 100/11/04,"19,730,524","1,034,982,347",52.20,52.60,52.10,52.30,+0.85,"4,632"
 100/11/07,"5,859,419","306,927,169",52.30,52.55,52.15,52.40,+0.10,"1,403"
 100/11/08,"13,171,890","691,115,178",52.40,52.85,52.15,52.15,-0.25,"3,079"
 100/11/09,"9,946,467","520,521,880",52.50,52.60,52.10,52.20,+0.05,"1,825"
 100/11/10,"59,839,061","3,037,844,411",51.25,51.25,50.20,50.55,-1.65,"15,853"
 100/11/11,"15,851,515","804,453,382",50.65,51.05,50.50,50.90,+0.35,"4,281"
 100/11/14,"22,866,370","1,190,190,796",51.75,52.25,51.75,52.15,+1.25,"6,327"
 100/11/15,"6,807,952","353,585,075",52.05,52.10,51.75,51.85,-0.30,"2,021"
 100/11/16,"20,231,863","1,044,690,193",52.15,52.30,51.10,51.20,-0.65,"4,562"
 100/11/17,"16,465,794","838,253,578",50.90,51.35,50.50,51.35,+0.15,"4,331"
 100/11/18,"39,881,720","2,013,948,315",50.70,50.80,50.25,50.30,-1.05,"10,948"
 100/11/21,"46,584,537","2,301,241,513",49.90,49.90,49.12,49.23,-1.07,"15,116"
 100/11/22,"37,161,151","1,824,551,499",49.23,49.47,48.83,49.02,-0.21,"8,220"
 100/11/23,"55,896,531","2,689,306,266",48.80,48.86,47.70,47.85,-1.17,"15,485"
 100/11/24,"38,816,971","1,852,249,539",47.80,48.03,47.28,47.86,+0.01,"8,808"
 100/11/25,"31,966,850","1,522,905,936",48.24,48.46,47.05,47.44,-0.42,"8,112"
 100/11/28,"17,182,607","825,538,052",48.08,48.30,47.85,48.29,+0.85,"4,460"
 100/11/29,"13,678,906","663,430,312",48.75,48.75,48.20,48.72,+0.43,"4,492"
 100/11/30,"13,561,318","652,493,375",48.50,48.53,47.75,48.08,-0.64,"4,175"
