"10105る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 101/05/02,"12,132,883","642,019,332",52.25,53.35,52.20,53.35,+1.30,"2,402"
 101/05/03,"5,177,566","274,835,367",53.25,53.25,52.95,53.10,-0.25,"1,156"
 101/05/04,"11,424,808","605,745,388",52.80,53.30,52.65,53.20,+0.10,"1,363"
 101/05/07,"21,312,453","1,110,096,207",52.45,52.45,51.85,52.05,-1.15,"4,255"
 101/05/08,"9,194,107","478,409,512",52.20,52.25,51.90,52.05,0.00,"1,509"
 101/05/09,"22,880,792","1,179,702,034",51.65,51.85,51.35,51.70,-0.35,"2,669"
 101/05/10,"7,132,826","368,954,587",51.60,52.00,51.55,51.70,0.00,"1,324"
 101/05/11,"29,045,919","1,486,045,592",51.60,51.60,51.05,51.15,-0.55,"3,305"
 101/05/14,"10,200,944","521,119,095",51.30,51.30,50.95,51.20,+0.05,"1,571"
 101/05/15,"21,664,396","1,102,135,199",50.90,51.20,50.55,51.20,0.00,"2,185"
 101/05/16,"32,978,827","1,667,294,077",51.00,51.10,50.10,50.20,-1.00,"4,708"
 101/05/17,"7,940,204","401,579,291",50.25,50.85,50.25,50.80,+0.60,"1,754"
 101/05/18,"37,830,294","1,888,228,710",50.05,50.25,49.62,49.67,-1.13,"6,960"
 101/05/21,"14,716,016","735,012,862",49.95,50.05,49.74,49.95,+0.28,"2,153"
 101/05/22,"9,359,416","470,511,496",50.35,50.40,50.05,50.40,+0.45,"1,646"
 101/05/23,"23,947,129","1,186,430,016",49.90,49.90,49.39,49.49,-0.91,"4,183"
 101/05/24,"12,526,356","617,626,551",49.55,49.69,49.15,49.38,-0.11,"2,512"
 101/05/25,"13,503,507","662,903,072",49.45,49.45,48.95,49.01,-0.37,"3,488"
 101/05/28,"6,212,453","305,318,995",49.01,49.47,48.85,49.47,+0.46,"1,890"
 101/05/29,"17,147,363","865,103,932",49.60,50.80,49.60,50.70,+1.23,"4,182"
 101/05/30,"11,745,965","587,648,352",50.35,50.35,49.83,50.10,-0.60,"3,530"
 101/05/31,"13,194,698","653,341,089",49.55,50.15,49.24,50.15,+0.05,"3,045"
