"10207る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 102/07/01,"13,788,335","763,383,444",54.80,55.70,54.80,55.60,+0.50,"3,037"
 102/07/02,"4,672,336","259,565,154",55.65,55.75,55.45,55.50,-0.10,"1,354"
 102/07/03,"7,004,292","385,469,799",55.20,55.40,54.85,54.85,-0.65,"1,985"
 102/07/04,"4,877,072","268,102,694",54.90,55.15,54.80,54.95,+0.10,"1,002"
 102/07/05,"17,674,559","986,410,395",55.25,56.05,55.20,56.05,+1.10,"3,536"
 102/07/08,"8,666,116","477,968,424",56.05,56.05,54.95,55.00,-1.05,"2,691"
 102/07/09,"4,074,161","225,977,952",55.00,55.70,54.95,55.65,+0.65,"1,513"
 102/07/10,"9,107,840","510,560,539",55.75,56.30,55.65,55.80,+0.15,"2,369"
 102/07/11,"30,308,916","1,728,349,862",56.75,57.40,56.70,57.20,+1.40,"6,127"
 102/07/12,"12,910,000","739,250,700",57.20,57.40,57.10,57.35,+0.15,"2,398"
 102/07/15,"14,187,888","815,949,882",57.35,57.70,57.10,57.50,+0.15,"2,434"
 102/07/16,"9,554,028","549,362,591",57.50,57.60,57.35,57.50,0.00,"1,724"
 102/07/17,"12,990,199","747,619,681",57.40,57.75,57.35,57.60,+0.10,"2,110"
 102/07/18,"12,640,447","723,858,943",57.60,57.65,57.10,57.20,-0.40,"2,128"
 102/07/19,"24,692,954","1,385,796,832",56.90,56.90,55.75,55.95,-1.25,"5,173"
 102/07/22,"5,257,632","295,654,456",56.15,56.40,56.10,56.15,+0.20,"1,382"
 102/07/23,"8,971,869","510,606,898",56.50,57.20,56.50,57.05,+0.90,"2,838"
 102/07/24,"4,960,850","282,334,850",56.80,57.15,56.80,56.90,-0.15,"1,618"
 102/07/25,"4,111,707","234,028,765",56.80,57.15,56.50,57.00,+0.10,"1,241"
 102/07/26,"4,896,127","279,404,379",57.00,57.40,56.70,56.90,-0.10,"1,011"
 102/07/29,"5,925,434","334,904,486",56.70,56.85,56.25,56.50,-0.40,"1,497"
 102/07/30,"10,121,624","576,372,668",56.75,57.15,56.50,56.95,+0.45,"1,249"
 102/07/31,"4,383,656","248,571,828",56.95,56.95,56.55,56.60,-0.35,"1,140"
