"10302る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 103/02/05,"57,559,609","3,221,379,831",56.40,56.40,55.60,55.80,-1.80,"14,073"
 103/02/06,"12,853,797","719,872,613",55.95,56.20,55.80,56.00,+0.20,"4,307"
 103/02/07,"16,027,524","906,121,727",56.40,56.70,56.30,56.60,+0.60,"4,581"
 103/02/10,"6,020,179","341,784,486",56.90,56.90,56.60,56.60,0.00,"2,230"
 103/02/11,"5,582,078","317,077,336",56.60,56.95,56.60,56.95,+0.35,"1,312"
 103/02/12,"18,604,541","1,067,688,348",57.15,57.55,57.15,57.55,+0.60,"3,367"
 103/02/13,"8,235,696","472,958,789",57.45,57.55,57.35,57.40,-0.15,"1,407"
 103/02/14,"22,328,857","1,295,999,585",57.70,58.20,57.70,57.95,+0.55,"4,400"
 103/02/17,"15,434,959","896,780,422",58.10,58.25,57.95,57.95,0.00,"2,094"
 103/02/18,"13,088,686","759,134,214",57.95,58.15,57.80,58.15,+0.20,"2,463"
