"10201る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 102/01/02,"16,487,837","896,311,193",54.00,54.65,53.90,54.40,+0.60,"3,320"
 102/01/03,"29,020,585","1,592,306,381",54.90,55.05,54.65,54.85,+0.45,"5,427"
 102/01/04,"9,837,846","536,506,095",54.85,54.85,54.40,54.50,-0.35,"2,058"
 102/01/07,"8,910,880","483,016,448",54.55,54.55,53.90,54.25,-0.25,"2,039"
 102/01/08,"12,507,357","673,988,953",54.00,54.20,53.65,53.90,-0.35,"1,821"
 102/01/09,"7,529,070","407,184,170",53.75,54.30,53.75,54.10,+0.20,"1,450"
 102/01/10,"13,953,703","760,152,853",54.30,54.65,54.15,54.50,+0.40,"2,121"
 102/01/11,"11,837,820","646,270,933",54.70,54.80,54.35,54.45,-0.05,"1,246"
 102/01/14,"7,282,035","393,924,688",54.00,54.50,53.80,54.50,+0.05,"1,728"
 102/01/15,"6,609,521","357,735,290",54.20,54.45,53.90,54.00,-0.50,"1,605"
 102/01/16,"8,142,003","438,232,812",54.05,54.05,53.70,53.70,-0.30,"1,769"
 102/01/17,"10,084,179","541,562,513",53.90,54.20,53.20,53.30,-0.40,"2,611"
 102/01/18,"5,410,035","291,355,474",53.95,53.95,53.70,53.95,+0.65,"1,210"
 102/01/21,"4,525,979","243,871,866",53.95,54.05,53.55,53.90,-0.05,"1,007"
 102/01/22,"10,501,391","567,964,392",54.30,54.30,53.70,54.05,+0.15,"1,340"
 102/01/23,"7,266,884","392,940,336",54.20,54.30,53.90,54.00,-0.05,949
 102/01/24,"11,334,440","608,084,018",53.75,53.90,53.25,53.70,-0.30,"2,174"
 102/01/25,"8,521,237","455,161,001",53.65,53.70,53.20,53.50,-0.20,"2,047"
 102/01/28,"8,708,776","468,347,261",53.70,53.95,53.65,53.75,+0.25,"1,422"
 102/01/29,"21,973,443","1,191,890,832",53.95,54.50,53.95,54.50,+0.75,"2,958"
 102/01/30,"21,672,090","1,183,403,953",54.50,54.75,54.45,54.60,+0.10,"2,765"
 102/01/31,"12,643,402","688,778,596",54.50,54.60,54.30,54.60,0.00,"1,555"
