"10208る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 102/08/01,"7,468,236","420,330,725",56.55,56.65,56.05,56.20,-0.40,"1,864"
 102/08/02,"6,840,267","387,353,274",56.60,57.00,56.35,56.55,+0.35,"1,375"
 102/08/05,"2,877,732","162,791,874",56.50,56.80,56.25,56.70,+0.15,"1,074"
 102/08/06,"20,739,753","1,158,970,776",56.40,56.40,55.75,55.90,-0.80,"4,604"
 102/08/07,"21,061,146","1,163,901,589",55.55,55.55,55.10,55.10,-0.80,"5,564"
 102/08/08,"25,089,681","1,379,035,959",55.00,55.10,54.80,54.90,-0.20,"5,058"
 102/08/09,"25,862,360","1,417,930,574",54.90,55.10,54.65,54.85,-0.05,"4,143"
 102/08/12,"12,024,912","659,841,614",55.00,55.05,54.70,55.00,+0.15,"2,689"
 102/08/13,"7,627,486","422,919,658",55.35,55.55,55.30,55.55,+0.55,"2,120"
 102/08/14,"11,120,302","614,619,593",55.55,55.55,55.10,55.40,-0.15,"2,030"
 102/08/15,"17,432,561","954,337,876",54.85,55.05,54.50,55.00,-0.40,"4,363"
 102/08/16,"17,785,551","978,460,432",54.65,55.45,54.65,55.25,+0.25,"2,438"
 102/08/19,"8,438,620","464,099,757",55.05,55.10,54.85,55.10,-0.15,"1,631"
 102/08/20,"19,856,498","1,086,946,503",54.85,55.15,54.50,54.60,-0.50,"4,055"
 102/08/22,"30,612,447","1,655,599,727",54.30,54.35,53.85,54.15,-0.45,"7,481"
 102/08/23,"16,798,781","920,166,255",54.50,55.00,54.50,54.85,+0.70,"3,612"
 102/08/26,"6,650,143","365,856,474",55.00,55.20,54.75,55.10,+0.25,"1,792"
 102/08/27,"7,339,895","402,257,761",55.00,55.00,54.60,54.60,-0.50,"1,770"
 102/08/28,"9,583,954","522,647,708",54.35,54.75,54.30,54.75,+0.15,"3,205"
 102/08/29,"12,791,404","708,453,609",54.85,55.60,54.85,55.50,+0.75,"3,687"
 102/08/30,"11,435,856","637,169,530",55.60,55.85,55.40,55.85,+0.35,"2,375"
