"10002る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 100/02/08,"11,116,268","697,462,887",63.05,63.20,62.40,62.60,-0.40,"1,530"
 100/02/09,"12,233,389","758,615,054",62.50,62.60,61.70,62.00,-0.60,"1,461"
 100/02/10,"22,906,193","1,397,844,338",61.60,61.60,60.75,60.85,-1.15,"2,936"
 100/02/11,"43,872,076","2,616,283,272",60.40,60.40,58.50,58.90,-1.95,"6,551"
 100/02/14,"11,080,133","657,605,142",59.05,59.65,59.05,59.40,+0.50,"2,112"
 100/02/15,"9,824,500","584,163,585",59.40,59.90,58.65,59.75,+0.35,"1,708"
 100/02/16,"20,565,527","1,232,166,432",59.80,60.10,59.60,59.85,+0.10,"2,034"
 100/02/17,"6,957,416","414,979,580",59.75,59.80,59.40,59.65,-0.20,932
 100/02/18,"9,831,511","594,817,814",60.00,60.85,59.95,60.65,+1.00,"1,772"
 100/02/21,"14,830,455","898,301,279",60.40,60.80,60.15,60.65,0.00,"1,247"
 100/02/22,"31,460,697","1,872,707,744",60.30,60.30,59.30,59.85,-0.80,"4,044"
 100/02/23,"28,150,332","1,669,981,084",59.45,59.70,58.80,59.00,-0.85,"3,513"
 100/02/24,"28,688,789","1,699,444,439",59.00,59.55,59.00,59.00,0.00,"2,306"
 100/02/25,"34,452,533","2,033,280,317",59.30,59.65,58.45,59.50,+0.50,"2,775"
