"10108る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 101/08/01,"6,881,841","351,450,740",50.90,51.30,50.80,51.20,+0.10,"2,186"
 101/08/03,"5,086,836","258,148,949",50.75,50.90,50.55,50.90,-0.30,"1,509"
 101/08/06,"11,035,662","570,636,637",51.90,52.00,51.45,51.55,+0.65,"2,735"
 101/08/07,"4,202,938","216,575,121",51.60,51.65,51.40,51.60,+0.05,"1,604"
 101/08/08,"9,545,045","496,033,404",51.95,52.20,51.70,51.75,+0.15,"2,585"
 101/08/09,"21,225,221","1,115,574,094",52.10,52.90,52.10,52.85,+1.10,"4,939"
 101/08/10,"11,291,279","597,430,859",52.85,53.05,52.75,52.80,-0.05,"2,465"
 101/08/13,"15,662,135","831,228,910",53.00,53.25,52.95,53.00,+0.20,"2,697"
 101/08/14,"16,024,047","854,491,801",53.10,53.55,53.00,53.25,+0.25,"2,613"
 101/08/15,"11,946,875","634,681,823",53.20,53.40,52.95,53.05,-0.20,"1,776"
 101/08/16,"7,953,827","423,898,219",53.10,53.50,53.00,53.20,+0.15,"1,596"
 101/08/17,"5,270,885","279,669,055",53.35,53.35,52.95,52.95,-0.25,"1,068"
 101/08/20,"9,862,178","520,220,603",52.85,53.05,52.55,52.80,-0.15,"1,891"
 101/08/21,"27,066,882","1,449,814,703",52.95,53.80,52.95,53.40,+0.60,"3,023"
 101/08/22,"5,560,943","295,805,638",53.35,53.40,53.00,53.35,-0.05,"2,065"
 101/08/23,"8,522,486","454,199,582",53.20,53.50,53.15,53.30,-0.05,976
 101/08/24,"11,023,694","585,207,724",53.00,53.20,52.95,53.10,-0.20,"1,213"
 101/08/27,"7,381,834","392,802,836",53.45,53.55,53.00,53.20,+0.10,"1,043"
 101/08/28,"9,135,416","480,748,795",52.95,52.95,52.45,52.50,-0.70,"2,474"
 101/08/29,"2,819,315","148,463,319",52.40,52.80,52.40,52.70,+0.20,767
 101/08/30,"6,947,921","364,959,725",52.45,52.70,52.40,52.55,-0.15,819
 101/08/31,"3,002,955","158,160,865",52.50,52.85,52.45,52.75,+0.20,755
