"10203る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 102/03/01,"5,730,057","317,569,049",55.35,55.55,55.30,55.40,+0.20,"1,133"
 102/03/04,"8,270,213","454,255,027",55.40,55.45,54.70,54.75,-0.65,"2,853"
 102/03/05,"16,081,480","884,932,685",54.90,55.35,54.90,55.20,+0.45,"1,337"
 102/03/06,"4,640,574","257,530,596",55.70,55.75,55.20,55.45,+0.25,"1,132"
 102/03/07,"5,956,438","330,452,404",55.20,55.65,55.20,55.40,-0.05,745
 102/03/08,"12,380,659","690,617,215",55.60,55.90,55.60,55.80,+0.40,"1,795"
 102/03/11,"12,066,208","674,388,210",55.80,56.10,55.60,55.90,+0.10,"1,693"
 102/03/12,"7,442,935","415,510,001",55.90,56.00,55.55,55.55,-0.35,"1,267"
 102/03/13,"10,205,851","568,131,569",55.60,55.95,55.30,55.65,+0.10,"1,807"
 102/03/14,"12,133,109","672,910,988",55.50,55.60,55.35,55.60,-0.05,"1,722"
 102/03/15,"9,551,506","529,341,414",55.60,55.70,55.20,55.20,-0.40,"1,540"
 102/03/18,"13,219,182","721,312,160",55.00,55.00,54.30,54.50,-0.70,"4,099"
 102/03/19,"3,373,726","184,302,099",54.70,54.75,54.50,54.60,+0.10,"1,324"
 102/03/20,"8,821,393","479,367,586",54.35,54.55,54.15,54.25,-0.35,"2,180"
 102/03/21,"4,929,633","267,993,890",54.40,54.45,54.25,54.30,+0.05,"1,351"
 102/03/22,"8,202,388","445,102,188",54.20,54.35,54.15,54.15,-0.15,"1,604"
 102/03/25,"2,648,667","144,567,062",54.75,54.75,54.45,54.55,+0.40,988
 102/03/26,"1,956,026","106,683,407",54.55,54.60,54.45,54.55,0.00,"1,101"
 102/03/27,"4,540,031","248,241,182",54.60,54.85,54.45,54.70,+0.15,"1,056"
 102/03/28,"3,315,710","180,675,642",54.70,54.75,54.40,54.55,-0.15,"1,013"
 102/03/29,"5,875,788","322,903,337",54.85,55.15,54.70,55.10,+0.55,"1,463"
