"9912る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 99/12/01,"12,684,432","731,551,429",57.10,58.00,57.10,58.00,+0.90,"1,964"
 99/12/02,"12,086,258","707,346,364",58.50,58.70,58.35,58.45,+0.45,"2,447"
 99/12/03,"13,503,527","794,549,793",58.60,59.00,58.60,59.00,+0.55,"2,389"
 99/12/06,"8,952,935","530,331,536",59.00,59.35,59.00,59.15,+0.15,"1,999"
 99/12/07,"5,464,594","322,503,156",59.20,59.20,58.85,59.10,-0.05,"1,161"
 99/12/08,"6,037,857","356,733,730",59.10,59.35,58.95,59.10,0.00,"1,300"
 99/12/09,"10,497,650","625,268,845",59.50,59.80,59.45,59.70,+0.60,"1,523"
 99/12/10,"5,805,796","344,119,654",59.60,59.60,59.15,59.30,-0.40,"1,157"
 99/12/13,"5,858,779","348,065,394",59.20,59.50,59.20,59.45,+0.15,"1,190"
 99/12/14,"11,537,399","684,971,795",59.25,59.60,59.10,59.30,-0.15,935
 99/12/15,"11,414,375","677,636,297",59.30,59.65,59.15,59.60,+0.30,988
 99/12/16,"18,627,435","1,112,660,163",59.65,59.85,59.60,59.70,+0.10,"1,516"
 99/12/17,"30,719,311","1,850,508,741",59.80,60.45,59.80,60.20,+0.50,"2,076"
 99/12/20,"13,022,778","779,248,151",60.40,60.40,59.50,59.90,-0.30,"1,725"
 99/12/21,"10,194,621","610,080,032",59.90,60.15,59.65,60.05,+0.15,999
 99/12/22,"14,734,837","885,524,383",60.40,60.40,60.00,60.05,0.00,"1,501"
 99/12/23,"16,447,355","993,055,549",60.05,60.55,60.05,60.45,+0.40,"1,547"
 99/12/24,"11,190,254","674,289,696",60.45,60.45,60.15,60.20,-0.25,970
 99/12/27,"10,376,432","625,717,035",60.20,60.55,60.00,60.45,+0.25,941
 99/12/28,"12,716,525","766,791,764",60.45,60.50,60.10,60.35,-0.10,858
 99/12/29,"15,210,085","917,997,409",60.35,60.50,60.20,60.50,+0.15,933
 99/12/30,"5,870,907","355,424,481",60.70,60.80,60.40,60.80,+0.30,824
 99/12/31,"13,970,805","853,433,428",60.80,61.40,60.75,61.40,+0.60,"1,726"
