ユら戳 ,,ユ澄る,秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,*Θユ秖,挡衡基,*ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
1999/7/2,TX ,199907,8618,8700,8590,8631,《72,《0.84%,3213,8631,5575,8631,8632,8715,7330
1999/7/2,TX ,199908,8600,8693,8586,8640,《75,《0.88%,236,8640,367,8638,8640,8700,8150
1999/7/2,TX ,199909,8600,8680,8555,8650,《95,《1.11%,58,8650,418,8635,8650,8700,5631
1999/7/2,TX ,199912,8650,8650,8650,8650,《81,《0.95%,1,8641,104,8512,8675,8950,5631
1999/7/2,TX ,200003,-,-,-,-,-,-,-,8668,27,-,-,-,-
1999/7/3,TX ,199907,8680,8730,8581,8616,】-15,】-0.17%,2856,8616,5491,8616,8617,8730,7330
1999/7/3,TX ,199908,8680,8730,8590,8620,】-20,】-0.23%,202,8620,414,8620,8630,8730,8150
1999/7/3,TX ,199909,8704,8704,8580,8630,】-20,】-0.23%,28,8630,422,8589,8630,8704,5631
1999/7/3,TX ,199912,8700,8700,8700,8700,《59,《0.68%,2,8626,104,8500,8700,8950,5631
1999/7/3,TX ,200003,8720,8720,8720,8720,《52,《0.60%,1,8653,28,8568,8899,8720,7388
1999/7/5,TX ,199907,8580,8630,8540,8608,】-8,】-0.09%,2068,8608,5670,8604,8608,8730,7330
1999/7/5,TX ,199908,8580,8630,8550,8601,】-19,】-0.22%,188,8601,466,8600,8615,8730,8150
1999/7/5,TX ,199909,8551,8630,8550,8600,】-30,】-0.35%,24,8600,426,8582,8625,8704,5631
1999/7/5,TX ,199912,8600,8600,8600,8600,】-26,】-0.30%,1,8618,104,8525,8699,8950,5631
1999/7/5,TX ,200003,8503,8503,8503,8503,】-150,】-1.73%,1,8645,28,8502,8715,8720,7388
1999/7/6,TX ,199907,8589,8620,8510,8526,】-82,】-0.95%,2582,8526,5472,8525,8526,8730,7330
1999/7/6,TX ,199908,8600,8605,8511,8515,】-86,】-1.00%,207,8515,509,8515,8520,8730,8150
1999/7/6,TX ,199909,8570,8580,8511,8511,】-89,】-1.03%,21,8511,429,8510,8536,8704,5631
1999/7/6,TX ,199912,8595,8595,8595,8595,】-23,】-0.27%,1,8536,104,8510,8695,8950,5631
1999/7/6,TX ,200003,-,-,-,-,-,-,-,8563,28,-,-,-,-
1999/7/7,TX ,199907,8500,8565,8475,8560,《34,《0.40%,2970,8560,5579,8555,8560,8730,7330
1999/7/7,TX ,199908,8495,8570,8470,8560,《45,《0.53%,228,8560,541,8560,8568,8730,8150
1999/7/7,TX ,199909,8500,8575,8440,8560,《49,《0.58%,30,8559,432,8530,8560,8704,5631
1999/7/7,TX ,199912,8589,8589,8556,8556,《20,《0.23%,4,8570,105,8483,8580,8950,5631
1999/7/7,TX ,200003,-,-,-,-,-,-,-,8597,28,-,-,-,-
1999/7/8,TX ,199907,8580,8639,8560,8615,《55,《0.64%,2519,8615,5439,8613,8615,8730,7330
1999/7/8,TX ,199908,8560,8640,8560,8621,《61,《0.71%,232,8621,587,8621,8625,8730,8150
1999/7/8,TX ,199909,8598,8649,8570,8649,《90,《1.05%,42,8649,426,8581,8650,8704,5631
1999/7/8,TX ,199912,-,-,-,-,-,-,-,8625,105,-,-,-,-
1999/7/8,TX ,200003,-,-,-,-,-,-,-,8652,28,-,-,-,-
1999/7/9,TX ,199907,8595,8647,8563,8565,】-50,】-0.58%,1759,8565,5383,8565,8566,8730,7330
1999/7/9,TX ,199908,8595,8645,8569,8569,】-52,】-0.60%,204,8569,622,8568,8569,8730,8150
1999/7/9,TX ,199909,8610,8639,8575,8575,】-74,】-0.86%,19,8575,434,8561,8600,8704,5631
1999/7/9,TX ,199912,8586,8586,8586,8586,】-39,】-0.45%,3,8586,105,8566,8600,8950,5631
1999/7/9,TX ,200003,8586,8586,8586,8586,】-66,】-0.76%,1,8602,29,8551,8699,8720,7388
1999/7/12,TX ,199907,8581,8594,8520,8550,】-15,】-0.18%,1704,8550,5266,8549,8550,8730,7330
1999/7/12,TX ,199908,8585,8595,8525,8560,】-9,】-0.11%,229,8560,684,8560,8562,8730,8150
1999/7/12,TX ,199909,8640,8640,8513,8543,】-32,】-0.37%,21,8560,444,8541,8559,8704,5631
