
"98 03る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 98/03/02"," 4,528.27"," 4,528.27"," 4,408.51"," 4,425.83"
" 98/03/03"," 4,364.37"," 4,435.34"," 4,328.05"," 4,435.34"
" 98/03/04"," 4,442.71"," 4,549.98"," 4,429.51"," 4,541.42"
" 98/03/05"," 4,628.54"," 4,677.89"," 4,598.80"," 4,637.20"
" 98/03/06"," 4,604.84"," 4,662.36"," 4,597.89"," 4,653.63"
" 98/03/09"," 4,643.62"," 4,660.13"," 4,578.05"," 4,628.24"
" 98/03/10"," 4,605.92"," 4,688.63"," 4,605.92"," 4,671.02"
" 98/03/11"," 4,789.80"," 4,798.06"," 4,747.89"," 4,759.96"
" 98/03/12"," 4,782.21"," 4,794.94"," 4,743.76"," 4,754.65"
" 98/03/13"," 4,844.97"," 4,923.57"," 4,830.17"," 4,897.39"
" 98/03/16"," 4,940.85"," 4,991.59"," 4,915.40"," 4,971.32"
" 98/03/17"," 4,998.90"," 5,050.63"," 4,954.50"," 5,041.39"
" 98/03/18"," 5,074.63"," 5,083.55"," 5,021.48"," 5,047.54"
" 98/03/19"," 5,090.50"," 5,125.40"," 5,035.82"," 5,035.93"
" 98/03/20"," 5,060.25"," 5,069.42"," 4,961.62"," 4,961.62"
" 98/03/23"," 5,022.60"," 5,124.18"," 5,015.82"," 5,124.18"
" 98/03/24"," 5,237.78"," 5,264.94"," 5,205.94"," 5,242.18"
" 98/03/25"," 5,248.78"," 5,365.81"," 5,226.49"," 5,346.38"
" 98/03/26"," 5,374.77"," 5,422.95"," 5,335.35"," 5,386.56"
" 98/03/27"," 5,468.49"," 5,468.49"," 5,367.99"," 5,390.70"
" 98/03/30"," 5,362.90"," 5,362.90"," 5,166.87"," 5,206.05"
" 98/03/31"," 5,214.96"," 5,286.45"," 5,194.93"," 5,210.84"
""
