
"93 05る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 93/05/03"," 6,102.60"," 6,123.53"," 5,986.85"," 6,029.77"
" 93/05/04"," 6,109.50"," 6,191.84"," 6,067.87"," 6,188.15"
" 93/05/05"," 6,190.90"," 6,190.90"," 5,854.23"," 5,854.23"
" 93/05/06"," 5,940.85"," 5,999.74"," 5,818.57"," 5,909.79"
" 93/05/07"," 5,892.94"," 6,040.26"," 5,889.89"," 6,040.26"
" 93/05/10"," 5,929.72"," 5,929.72"," 5,803.74"," 5,825.05"
" 93/05/11"," 5,855.72"," 5,890.60"," 5,704.21"," 5,886.36"
" 93/05/12"," 5,970.56"," 6,026.64"," 5,950.51"," 5,958.79"
" 93/05/13"," 5,928.57"," 5,971.44"," 5,878.61"," 5,918.09"
" 93/05/14"," 5,930.30"," 5,934.80"," 5,777.32"," 5,777.32"
" 93/05/17"," 5,632.58"," 5,632.58"," 5,450.72"," 5,482.96"
" 93/05/18"," 5,500.64"," 5,613.35"," 5,461.19"," 5,557.68"
" 93/05/19"," 5,690.18"," 5,861.53"," 5,684.52"," 5,860.58"
" 93/05/20"," 5,779.98"," 5,926.27"," 5,727.68"," 5,815.33"
" 93/05/21"," 5,836.08"," 5,993.28"," 5,805.72"," 5,964.94"
" 93/05/24"," 5,927.46"," 6,021.50"," 5,873.80"," 5,942.08"
" 93/05/25"," 5,917.08"," 6,020.54"," 5,917.08"," 5,958.38"
" 93/05/26"," 6,098.53"," 6,116.45"," 6,026.90"," 6,027.27"
" 93/05/27"," 6,068.95"," 6,074.58"," 6,001.44"," 6,033.05"
" 93/05/28"," 6,087.23"," 6,137.26"," 6,035.93"," 6,137.26"
" 93/05/31"," 6,106.19"," 6,106.19"," 5,977.84"," 5,977.84"
""
