交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2004/1/2,AAO,200406  ,46,買權,0,0,0,0,0,5.45,0,0,0,0,0
2004/1/2,AAO,200406  ,46,賣權,0,0,0,0,0,2.15,0,0,0,0,0
2004/1/2,AAO,200406  ,48,買權,0,0,0,0,0,4.25,3,0,0,2.28,0
2004/1/2,AAO,200406  ,48,賣權,0,0,0,0,0,2.98,0,0,0,0,0
2004/1/2,AAO,200406  ,50,買權,0,0,0,0,0,3.22,0,0,0,0,0
2004/1/2,AAO,200406  ,50,賣權,0,0,0,0,0,3.97,0,0,0,0,0
2004/1/2,AAO,200406  ,55,買權,0,0,0,0,0,1.45,0,0,0,0,0
2004/1/2,AAO,200406  ,55,賣權,0,0,0,0,0,7.1,0,0,0,0,0
2004/1/2,AAO,200409  ,44,買權,0,0,0,0,0,7.55,0,0,0,0,0
2004/1/2,AAO,200409  ,44,賣權,0,0,0,0,0,2.19,0,0,0,0,0
2004/1/2,AAO,200409  ,46,買權,0,0,0,0,0,6.25,0,0,0,0,0
2004/1/2,AAO,200409  ,46,賣權,0,0,0,0,0,2.94,0,0,0,0,0
2004/1/2,AAO,200409  ,48,買權,0,0,0,0,0,5.05,0,0,0,0,0
2004/1/2,AAO,200409  ,48,賣權,0,0,0,0,0,3.82,0,0,0,0,0
2004/1/2,AAO,200409  ,50,買權,0,0,0,0,0,4.08,0,0,0,0,0
2004/1/2,AAO,200409  ,50,賣權,0,0,0,0,0,4.83,0,0,0,0,0
2004/1/2,AAO,200409  ,55,買權,0,0,0,0,0,2.22,0,0,0,0,0
2004/1/2,AAO,200409  ,55,賣權,0,0,0,0,0,7.85,0,0,0,0,0
2004/1/2,ABO,200401  ,24,買權,0,0,0,0,0,5.1,0,0,0,0,0
2004/1/2,ABO,200401  ,24,賣權,0,0,0,0,0,0.01,0,0,0,0.21,0
2004/1/2,ABO,200401  ,26,買權,0,0,0,0,0,3.13,3,2.4,3.5,3,0
2004/1/2,ABO,200401  ,26,賣權,0,0,0,0,0,0.01,34,0,0,0.76,0
2004/1/2,ABO,200401  ,28,買權,0.75,0.98,0.75,0.98,40,1.27,123,0.71,0.97,1,0.75
2004/1/2,ABO,200401  ,28,賣權,0,0,0,0,0,0.08,81,0,0,2,0
2004/1/2,ABO,200401  ,30,買權,0.1,0.1,0.1,0.1,1,0.22,22,0.3,0.9,1.5,0.1
2004/1/2,ABO,200401  ,30,賣權,0,0,0,0,0,1.01,0,0,0,0,0
2004/1/2,ABO,200401  ,32,買權,0,0,0,0,0,0.01,10,0,0,0.21,0
2004/1/2,ABO,200401  ,32,賣權,0,0,0,0,0,2.86,0,0,0,0,0
2004/1/2,ABO,200402  ,24,買權,0,0,0,0,0,5.1,0,0,0,0,0
2004/1/2,ABO,200402  ,24,賣權,0,0,0,0,0,0.01,0,0,0,0,0
2004/1/2,ABO,200402  ,26,買權,0,0,0,0,0,3.17,0,0,0,0,0
2004/1/2,ABO,200402  ,26,賣權,0,0,0,0,0,0.01,0,0,0,0,0
2004/1/2,ABO,200402  ,28,買權,0,0,0,0,0,1.44,12,0.5,0,1,0
2004/1/2,ABO,200402  ,28,賣權,0,0,0,0,0,0.19,10,0,0.25,0.7,0
2004/1/2,ABO,200402  ,30,買權,0.38,0.44,0.38,0.44,74,0.44,135,0.3,0.44,0.5,0.15
2004/1/2,ABO,200402  ,30,賣權,0,0,0,0,0,1.13,0,0,0,0,0
2004/1/2,ABO,200402  ,32,買權,0,0,0,0,0,0.06,2,0,0,0.15,0
2004/1/2,ABO,200402  ,32,賣權,0,0,0,0,0,2.86,0,0,0,0,0
2004/1/2,ABO,200403  ,20,買權,0,0,0,0,0,9.15,0,0,0,0,0
2004/1/2,ABO,200403  ,20,賣權,0,0,0,0,0,0.01,0,0,0,0,0
2004/1/2,ABO,200403  ,22,買權,0,0,0,0,0,7.15,0,0,0,0,0
2004/1/2,ABO,200403  ,22,賣權,0,0,0,0,0,0.01,0,0,0,0,0
2004/1/2,ABO,200403  ,24,買權,0,0,0,0,0,5.15,0,0,0,0,0
2004/1/2,ABO,200403  ,24,賣權,0,0,0,0,0,0.01,161,0,0,1.17,0
