
"91 09る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 91/09/02"," 4,756.01"," 4,756.01"," 4,643.66"," 4,644.58"
" 91/09/03"," 4,654.15"," 4,666.39"," 4,577.94"," 4,588.06"
" 91/09/04"," 4,499.51"," 4,595.91"," 4,490.99"," 4,534.15"
" 91/09/05"," 4,578.94"," 4,585.25"," 4,459.37"," 4,459.37"
" 91/09/09"," 4,475.99"," 4,533.27"," 4,438.91"," 4,533.27"
" 91/09/10"," 4,545.83"," 4,668.01"," 4,522.37"," 4,668.01"
" 91/09/11"," 4,690.88"," 4,707.55"," 4,649.21"," 4,660.53"
" 91/09/12"," 4,653.37"," 4,687.33"," 4,609.70"," 4,647.37"
" 91/09/13"," 4,590.79"," 4,613.47"," 4,573.72"," 4,580.17"
" 91/09/16"," 4,578.15"," 4,579.60"," 4,451.20"," 4,457.16"
" 91/09/17"," 4,478.58"," 4,633.86"," 4,463.86"," 4,633.86"
" 91/09/18"," 4,531.13"," 4,540.53"," 4,469.67"," 4,482.65"
" 91/09/19"," 4,502.03"," 4,542.84"," 4,475.75"," 4,491.31"
" 91/09/20"," 4,420.43"," 4,438.44"," 4,369.51"," 4,429.25"
" 91/09/23"," 4,424.16"," 4,450.08"," 4,328.40"," 4,328.40"
" 91/09/24"," 4,303.85"," 4,355.64"," 4,272.60"," 4,286.94"
" 91/09/25"," 4,277.00"," 4,287.33"," 4,127.59"," 4,185.95"
" 91/09/26"," 4,263.67"," 4,287.63"," 4,219.57"," 4,222.22"
" 91/09/27"," 4,240.48"," 4,279.00"," 4,202.84"," 4,208.80"
" 91/09/30"," 4,147.04"," 4,191.81"," 4,082.94"," 4,191.81"
""
