交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2003/1/2,TXO,200301  ,3900,買權,0,0,0,0,0,625,12,410,680,910,500
2003/1/2,TXO,200301  ,3900,賣權,4.8,4.8,0.5,0.5,6,0.2,145,0,4.2,183,0.4
2003/1/2,TXO,200301  ,4000,買權,0,0,0,0,0,525,20,385,585,740,466
2003/1/2,TXO,200301  ,4000,賣權,0,0,0,0,0,0.9,381,1,6,138,2
2003/1/2,TXO,200301  ,4100,買權,0,0,0,0,0,430,1,226,494,498,339
2003/1/2,TXO,200301  ,4100,賣權,8.5,9,2,3,47,3,1081,2.5,7,166,2
2003/1/2,TXO,200301  ,4200,買權,202,280,202,280,16,336,55,236,280,470,100
2003/1/2,TXO,200301  ,4200,賣權,14,18,8,10,302,10,2846,8.5,9,154,7
2003/1/2,TXO,200301  ,4300,買權,141,196,120,171,202,212,1152,162,183,371,120
2003/1/2,TXO,200301  ,4300,賣權,29,40,18,22,2627,22,7879,21,22,196,15
2003/1/2,TXO,200301  ,4400,買權,79,123,67,105,773,148,2900,102,105,400,51
2003/1/2,TXO,200301  ,4400,賣權,66,81,39,49,1975,49,7223,47,49,348,33
2003/1/2,TXO,200301  ,4500,買權,40,65,30,54,2133,96,4619,53,56,410,30
2003/1/2,TXO,200301  ,4500,賣權,129,147,82,97,1032,96,5798,97,99,356,60
2003/1/2,TXO,200301  ,4600,買權,19,30,12,24,1610,57,5648,23.5,25,358,12
2003/1/2,TXO,200301  ,4600,賣權,210,228,149,168,651,159,1983,166,168,240,92
2003/1/2,TXO,200301  ,4700,買權,9,12.5,6.6,12.5,627,31.5,6340,9.5,12,307,6.6
2003/1/2,TXO,200301  ,4700,賣權,312,312,220,257,231,239,826,231,257,411,130
2003/1/2,TXO,200301  ,4800,買權,6,7,4,5,748,15.5,7730,4.8,5.1,256,4
2003/1/2,TXO,200301  ,4800,賣權,407,409,330,358,18,290,363,330,358,409,79
2003/1/2,TXO,200301  ,4900,買權,2.7,4.8,2.7,4.6,587,7.1,5872,3.5,4.5,200,2
2003/1/2,TXO,200301  ,4900,賣權,385,450,385,440,4,380,222,406,498,490,210
2003/1/2,TXO,200301  ,5000,買權,1,2,1,2,126,2.9,3974,1.2,2,177,1
2003/1/2,TXO,200301  ,5000,賣權,510,745,510,520,3,475,62,481,615,745,93
2003/1/2,TXO,200301  ,5100,買權,0.5,2,0.5,1,46,1.3,4788,1.2,1.8,118,0.5
2003/1/2,TXO,200301  ,5100,賣權,550,770,550,770,32,570,8,555,735,770,395
2003/1/2,TXO,200302  ,4200,買權,0,0,0,0,0,393,35,176,330,283,250
2003/1/2,TXO,200302  ,4200,賣權,49,49,30,32,76,48.5,968,31.5,35,49,23
2003/1/2,TXO,200302  ,4300,買權,208,208,208,208,1,321,60,152,289,350,151
2003/1/2,TXO,200302  ,4300,賣權,63,72,51,56,163,72,2221,56,59,93,40
2003/1/2,TXO,200302  ,4400,買權,120,160,120,160,9,257,150,140,168,372,120
2003/1/2,TXO,200302  ,4400,賣權,122,125,84,86,88,102,479,86,115,150,72
2003/1/2,TXO,200302  ,4500,買權,80,109,80,100,112,172,488,97,105,411,35
2003/1/2,TXO,200302  ,4500,賣權,166,166,135,145,46,164,290,135,165,219,70
2003/1/2,TXO,200302  ,4600,買權,46,70,46,61,159,132,558,61,66,344,46
2003/1/2,TXO,200302  ,4600,賣權,221,221,200,200,4,217,243,198,239,250,175
2003/1/2,TXO,200302  ,4700,買權,30,45,26,40,97,99,955,38,39,140,26
2003/1/2,TXO,200302  ,4700,賣權,0,0,0,0,0,279,80,210,0,340,192
2003/1/2,TXO,200302  ,4800,買權,20,25,16,22.5,107,74,881,22.5,26,280,16
2003/1/2,TXO,200302  ,4800,賣權,0,0,0,0,0,347,23,277,0,353,100
2003/1/2,TXO,200302  ,4900,買權,18,19,17.5,19,28,62,684,14.5,20,230,6
2003/1/2,TXO,200302  ,4900,賣權,321,680,321,600,115,423,33,381,550,680,203
2003/1/2,TXO,200302  ,5000,買權,14,16,14,16,3,43.5,384,11,17.5,140,10
2003/1/2,TXO,200302  ,5000,賣權,0,0,0,0,0,505,2,416,0,480,480
2003/1/2,TXO,200302  ,5100,買權,11.5,11.5,11.5,11.5,2,30,173,8,13.5,150,8
2003/1/2,TXO,200302  ,5100,賣權,700,700,700,700,4,590,14,505,700,700,690
2003/1/2,TXO,200303  ,3500,買權,0,0,0,0,0,1040,30,0,0,1050,950
2003/1/2,TXO,200303  ,3500,賣權,0,0,0,0,0,3.7,1,1.2,22.5,168,0.1
2003/1/2,TXO,200303  ,3600,買權,0,0,0,0,0,945,0,0,0,0,0
2003/1/2,TXO,200303  ,3600,賣權,0,0,0,0,0,6.8,0,0,0,0,0
2003/1/2,TXO,200303  ,3700,買權,0,0,0,0,0,850,30,0,0,870,805
2003/1/2,TXO,200303  ,3700,賣權,0,0,0,0,0,11.5,10,3,0,31.5,31.5
2003/1/2,TXO,200303  ,3800,買權,0,0,0,0,0,760,0,0,0,0,0
2003/1/2,TXO,200303  ,3800,賣權,0,0,0,0,0,19,0,0,31,0,0
2003/1/2,TXO,200303  ,3900,買權,0,0,0,0,0,670,99,0,0,850,660
2003/1/2,TXO,200303  ,3900,賣權,0,0,0,0,0,29.5,23,5,31,100,2
2003/1/2,TXO,200303  ,4000,買權,0,0,0,0,0,585,0,300,0,0,0
2003/1/2,TXO,200303  ,4000,賣權,0,0,0,0,0,44.5,10,22.5,35,131,28
2003/1/2,TXO,200303  ,4100,買權,0,0,0,0,0,505,50,203,0,650,375
2003/1/2,TXO,200303  ,4100,賣權,0,0,0,0,0,64,24,36,67,269,15
2003/1/2,TXO,200303  ,4200,買權,0,0,0,0,0,434,0,161,0,0,0
2003/1/2,TXO,200303  ,4200,賣權,85,85,55,55,3,77,57,50,82,90,20
2003/1/2,TXO,200303  ,4300,買權,0,0,0,0,0,366,34,150,338,845,138
2003/1/2,TXO,200303  ,4300,賣權,123,123,121,121,3,122,102,80,120,370,66
2003/1/2,TXO,200303  ,4400,買權,0,0,0,0,0,305,11,118,0,229,165
2003/1/2,TXO,200303  ,4400,賣權,153,153,150,150,2,161,133,116,299,189,120
2003/1/2,TXO,200303  ,4500,買權,0,0,0,0,0,252,64,110,190,720,108
2003/1/2,TXO,200303  ,4500,賣權,200,201,181,181,26,207,469,167,215,525,100
2003/1/2,TXO,200303  ,4600,買權,0,0,0,0,0,205,31,66,138,220,90
2003/1/2,TXO,200303  ,4600,賣權,0,0,0,0,0,259,129,231,0,295,155
2003/1/2,TXO,200303  ,4700,買權,0,0,0,0,0,164,152,45,144,655,75
2003/1/2,TXO,200303  ,4700,賣權,0,0,0,0,0,319,178,260,395,625,95
2003/1/2,TXO,200303  ,4800,買權,58,58,45,45,13,130,31,40,68,126,45
2003/1/2,TXO,200303  ,4800,賣權,0,0,0,0,0,384,10,215,0,370,370
2003/1/2,TXO,200303  ,4900,買權,30,35,30,35,9,102,236,28.5,45,710,30
2003/1/2,TXO,200303  ,4900,賣權,0,0,0,0,0,456,32,305,0,545,100
2003/1/2,TXO,200303  ,5000,買權,0,0,0,0,0,79,62,12.5,44.5,76,21
2003/1/2,TXO,200303  ,5000,賣權,0,0,0,0,0,530,1,405,0,560,500
2003/1/2,TXO,200303  ,5100,買權,0,0,0,0,0,61,100,2,0,600,2
2003/1/2,TXO,200303  ,5100,賣權,0,0,0,0,0,610,10,455,0,1070,555
2003/1/2,TXO,200303  ,5200,買權,0,0,0,0,0,46,42,1,0,35,32
2003/1/2,TXO,200303  ,5200,賣權,0,0,0,0,0,695,0,0,0,0,0
2003/1/2,TXO,200303  ,5300,買權,10,10,10,10,31,34.5,120,8,50,505,1
2003/1/2,TXO,200303  ,5300,賣權,0,0,0,0,0,785,20,0,0,1250,675
2003/1/2,TXO,200303  ,5400,買權,0,0,0,0,0,25.5,0,7.5,50,5,0.3
2003/1/2,TXO,200303  ,5400,賣權,0,0,0,0,0,875,0,0,0,0,0
2003/1/2,TXO,200303  ,5500,買權,0,0,0,0,0,18.5,105,1.2,0,412,5
2003/1/2,TXO,200303  ,5500,賣權,0,0,0,0,0,965,21,0,0,1110,815
