交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2002/7/1,TXO,200207  ,4800,買權,317,317,210,210,41,210,37,205,240,388,210
2002/7/1,TXO,200207  ,4800,賣權,80,80,42,77,537,67,417,70,77,80,27
2002/7/1,TXO,200207  ,4900,買權,241,241,145,146,82,146,164,146,170,320,145
2002/7/1,TXO,200207  ,4900,賣權,53,118,53,117,641,109,695,111,117,118,41
2002/7/1,TXO,200207  ,5000,買權,185,185,100,105,439,105,354,106,111,253,100
2002/7/1,TXO,200207  ,5000,賣權,84,170,84,160,291,160,596,155,175,170,65
2002/7/1,TXO,200207  ,5100,買權,150,150,68,79,1955,79,1253,70,79,413,68
2002/7/1,TXO,200207  ,5100,賣權,128,235,128,220,514,220,2280,220,238,235,39
2002/7/1,TXO,200207  ,5200,買權,103,108,42,50,667,50,1532,46,53,345,42
2002/7/1,TXO,200207  ,5200,賣權,181,310,181,310,218,310,646,303,310,310,47
2002/7/1,TXO,200207  ,5300,買權,70,80,28,34,384,34,1943,33,37.5,390,28
2002/7/1,TXO,200207  ,5300,賣權,261,395,261,395,389,395,2533,395,410,395,52
2002/7/1,TXO,200207  ,5400,買權,50,50,20,24,115,19.5,1555,21,26,320,20
2002/7/1,TXO,200207  ,5400,賣權,352,486,352,460,127,460,555,461,510,486,78
2002/7/1,TXO,200207  ,5500,買權,25,29,12,17,88,10.5,2033,13,16.5,395,12
2002/7/1,TXO,200207  ,5500,賣權,416,580,416,580,46,530,374,440,590,580,98
2002/7/1,TXO,200207  ,5600,買權,30,30,10,10,55,4.9,1671,10.5,13.5,299,10
2002/7/1,TXO,200207  ,5600,賣權,500,650,500,650,16,625,215,380,0,650,100
2002/7/1,TXO,200207  ,5700,買權,10,10,5,7.5,17,2.4,1380,7,9,277,5
2002/7/1,TXO,200207  ,5700,賣權,745,760,745,760,4,725,158,610,800,760,159
2002/7/1,TXO,200207  ,5800,買權,7,7,3.5,3.5,37,1.1,1523,3.5,12,243,3.5
2002/7/1,TXO,200207  ,5800,賣權,800,800,800,800,1,820,69,750,0,800,161
2002/7/1,TXO,200207  ,5900,買權,3.1,3.1,3.1,3.1,2,0.5,713,3.1,13.5,216,3
2002/7/1,TXO,200207  ,5900,賣權,0,0,0,0,0,920,34,550,0,560,344
2002/7/1,TXO,200207  ,6000,買權,2,2,2,2,2,0.2,553,1.1,2,165,2
2002/7/1,TXO,200207  ,6000,賣權,0,0,0,0,0,1020,19,800,0,790,265
2002/7/1,TXO,200207  ,6100,買權,0,0,0,0,0,0.1,183,0.1,9.8,160,2.5
2002/7/1,TXO,200207  ,6100,賣權,1150,1150,1150,1150,3,1120,26,850,0,1150,190
2002/7/1,TXO,200207  ,6200,買權,0,0,0,0,0,0.1,200,0.1,7.9,120,9.9
2002/7/1,TXO,200207  ,6200,賣權,0,0,0,0,0,1220,11,0,0,950,505
2002/7/1,TXO,200207  ,6300,買權,0,0,0,0,0,0.1,86,0.1,9.8,90,1
2002/7/1,TXO,200207  ,6300,賣權,0,0,0,0,0,1320,20,0,0,600,585
2002/7/1,TXO,200207  ,6400,買權,0,0,0,0,0,0.1,75,0.1,9.6,229,0.1
2002/7/1,TXO,200207  ,6400,賣權,0,0,0,0,0,1420,0,0,0,0,0
2002/7/1,TXO,200207  ,6500,買權,0,0,0,0,0,0.1,58,0.1,20,300,2
2002/7/1,TXO,200207  ,6500,賣權,1550,1550,1550,1550,21,1520,11,0,0,1550,775
2002/7/1,TXO,200208  ,4800,買權,0,0,0,0,0,329,0,86,0,0,0
2002/7/1,TXO,200208  ,4800,賣權,150,150,150,150,1,142,1,0,188,150,150
2002/7/1,TXO,200208  ,4900,買權,0,0,0,0,0,272,0,14,0,0,0
2002/7/1,TXO,200208  ,4900,賣權,0,0,0,0,0,184,0,175,200,0,0
2002/7/1,TXO,200208  ,5000,買權,0,0,0,0,0,222,3,163,318,299,299
2002/7/1,TXO,200208  ,5000,賣權,0,0,0,0,0,233,20,0,0,182,169
2002/7/1,TXO,200208  ,5100,買權,143,162,143,162,5,179,24,53,160,431,143
2002/7/1,TXO,200208  ,5100,賣權,0,0,0,0,0,290,1,206,0,143,143
2002/7/1,TXO,200208  ,5200,買權,100,102,100,100,23,142,56,97,111,211,100
2002/7/1,TXO,200208  ,5200,賣權,0,0,0,0,0,352,10,0,400,271,107
2002/7/1,TXO,200208  ,5300,買權,80,85,74,75,100,111,120,65,85,422,74
2002/7/1,TXO,200208  ,5300,賣權,0,0,0,0,0,421,0,35,0,0,0
2002/7/1,TXO,200208  ,5400,買權,62,62,55,55,77,74,111,41,60,135,55
2002/7/1,TXO,200208  ,5400,賣權,0,0,0,0,0,496,0,0,0,0,0
2002/7/1,TXO,200208  ,5500,買權,40,45,40,40,24,57,91,0,52,89,40
2002/7/1,TXO,200208  ,5500,賣權,0,0,0,0,0,575,0,61,0,0,0
2002/7/1,TXO,200208  ,5600,買權,0,0,0,0,0,49.5,10,0.1,0,240,240
2002/7/1,TXO,200208  ,5600,賣權,0,0,0,0,0,655,0,0,0,0,0
2002/7/1,TXO,200208  ,5700,買權,0,0,0,0,0,37,6,0,0,163,163
2002/7/1,TXO,200208  ,5700,賣權,0,0,0,0,0,745,1,0,0,440,215
2002/7/1,TXO,200208  ,5800,買權,0,0,0,0,0,27,4,0,0,185,60
2002/7/1,TXO,200208  ,5800,賣權,0,0,0,0,0,835,3,0,0,450,450
2002/7/1,TXO,200208  ,5900,買權,0,0,0,0,0,19.5,21,0,0,178,83
2002/7/1,TXO,200208  ,5900,賣權,0,0,0,0,0,925,96,0,0,715,490
2002/7/1,TXO,200208  ,6000,買權,0,0,0,0,0,14,31,0,0,85,35.5
2002/7/1,TXO,200208  ,6000,賣權,0,0,0,0,0,1020,10,0,0,650,640
2002/7/1,TXO,200208  ,6100,買權,0,0,0,0,0,10,20,0,0,67,43
2002/7/1,TXO,200208  ,6100,賣權,0,0,0,0,0,1110,1,0,0,575,575
2002/7/1,TXO,200209  ,4700,買權,430,430,430,430,1,448,1,270,0,840,430
2002/7/1,TXO,200209  ,4700,賣權,114,150,114,150,13,150,34,0,0,150,60
2002/7/1,TXO,200209  ,4800,買權,0,0,0,0,0,387,0,0,0,0,0
2002/7/1,TXO,200209  ,4800,賣權,156,156,156,156,7,189,8,0,0,156,84
2002/7/1,TXO,200209  ,4900,買權,0,0,0,0,0,331,10,0,0,685,685
2002/7/1,TXO,200209  ,4900,賣權,212,222,212,222,60,233,61,0,0,222,134
2002/7/1,TXO,200209  ,5000,買權,0,0,0,0,0,282,0,0,0,0,0
2002/7/1,TXO,200209  ,5000,賣權,0,0,0,0,0,282,0,0,0,0,0
2002/7/1,TXO,200209  ,5100,買權,0,0,0,0,0,238,12,0,0,505,418
2002/7/1,TXO,200209  ,5100,賣權,0,0,0,0,0,338,1,0,0,270,270
2002/7/1,TXO,200209  ,5200,買權,0,0,0,0,0,199,10,0,0,368,368
2002/7/1,TXO,200209  ,5200,賣權,0,0,0,0,0,398,0,0,0,0,0
2002/7/1,TXO,200209  ,5300,買權,0,0,0,0,0,165,11,0,0,346,315
2002/7/1,TXO,200209  ,5300,賣權,0,0,0,0,0,464,21,0,0,258,233
2002/7/1,TXO,200209  ,5400,買權,0,0,0,0,0,136,11,0,0,267,267
2002/7/1,TXO,200209  ,5400,賣權,0,0,0,0,0,530,0,0,0,0,0
2002/7/1,TXO,200209  ,5500,買權,0,0,0,0,0,111,21,60,0,273,223
2002/7/1,TXO,200209  ,5500,賣權,0,0,0,0,0,605,0,0,0,655,650
2002/7/1,TXO,200209  ,5600,買權,0,0,0,0,0,90,0,0,0,0,0
2002/7/1,TXO,200209  ,5600,賣權,0,0,0,0,0,685,0,0,0,0,0
2002/7/1,TXO,200209  ,5700,買權,0,0,0,0,0,73,0,0,0,0,0
2002/7/1,TXO,200209  ,5700,賣權,0,0,0,0,0,765,1,0,0,505,505
2002/7/1,TXO,200209  ,5800,買權,0,0,0,0,0,58,0,0,0,0,0
2002/7/1,TXO,200209  ,5800,賣權,0,0,0,0,0,850,0,0,0,0,0
2002/7/1,TXO,200209  ,5900,買權,0,0,0,0,0,46.5,10,0,0,229,229
2002/7/1,TXO,200209  ,5900,賣權,0,0,0,0,0,940,13,0,0,212,188
2002/7/1,TXO,200209  ,6000,買權,0,0,0,0,0,36.5,1,0,0,100,100
2002/7/1,TXO,200209  ,6000,賣權,0,0,0,0,0,1030,0,0,0,0,0
2002/7/1,TXO,200209  ,6100,買權,0,0,0,0,0,29,26,0,0,540,82
2002/7/1,TXO,200209  ,6100,賣權,0,0,0,0,0,1120,20,0,0,295,250
2002/7/1,TXO,200209  ,6200,買權,0,0,0,0,0,22.5,0,0,0,0,0
2002/7/1,TXO,200209  ,6200,賣權,0,0,0,0,0,1210,0,0,0,0,0
2002/7/1,TXO,200209  ,6300,買權,0,0,0,0,0,17.5,21,0,0,390,93
2002/7/1,TXO,200209  ,6300,賣權,0,0,0,0,0,1310,10,0,0,895,895
2002/7/1,TXO,200209  ,6400,買權,0,0,0,0,0,13.5,0,0,0,0,0
2002/7/1,TXO,200209  ,6400,賣權,0,0,0,0,0,1400,0,0,0,0,0
2002/7/1,TXO,200209  ,6500,買權,0,0,0,0,0,10,10,0,0,88,88
2002/7/1,TXO,200209  ,6500,賣權,0,0,0,0,0,1500,10,0,0,1330,1230
2002/7/1,TXO,200209  ,6600,買權,0,0,0,0,0,7.9,0,0,0,0,0
2002/7/1,TXO,200209  ,6600,賣權,0,0,0,0,0,1590,0,0,0,0,0
2002/7/1,TXO,200209  ,6700,買權,0,0,0,0,0,6,0,0,0,0,0
2002/7/1,TXO,200209  ,6700,賣權,0,0,0,0,0,1690,0,0,0,0,0
2002/7/1,TXO,200212  ,4800,買權,0,0,0,0,0,525,0,0,0,0,0
2002/7/1,TXO,200212  ,4800,賣權,0,0,0,0,0,298,0,0,0,0,0
2002/7/1,TXO,200212  ,5000,買權,0,0,0,0,0,428,0,0,0,0,0
2002/7/1,TXO,200212  ,5000,賣權,0,0,0,0,0,394,0,0,0,0,0
2002/7/1,TXO,200212  ,5200,買權,0,0,0,0,0,342,10,0,0,461,461
2002/7/1,TXO,200212  ,5200,賣權,0,0,0,0,0,505,10,0,0,329,329
2002/7/1,TXO,200212  ,5400,買權,0,0,0,0,0,270,2,0,0,474,473
2002/7/1,TXO,200212  ,5400,賣權,0,0,0,0,0,630,10,0,0,426,426
2002/7/1,TXO,200212  ,5600,買權,0,0,0,0,0,212,1,0,0,228,228
2002/7/1,TXO,200212  ,5600,賣權,0,0,0,0,0,770,20,0,0,545,525
